Id,High School Type,State,unweighted GPA,weighted GPA,SAT Math,SAT Verbal,SAT Writing,SAT 1600,SAT 2400,ACT,Class Rank,Status,,
1,Public,AZ,3.64,3.74,710,640,520,1350,1870,29,24 of 164,Denied,,
2,Public,ME,3.9,3.97,800,650,730,1450,2180,,1 of 218,Accepted,,
3,Private,OR,3.6,,710,680,,1390,1390,,DR,Denied,,
4,Public,PA,3.98,4.02,670,690,780,1360,2140,,1 of 68,Accepted,,
5,Public,CT,3.6,3.8,750,650,530,1400,1930,,DR,Accepted,,
6,Public,VA,4,4.78,590,590,590,1180,1770,27,DR,Denied,,
7,Public,CO,3.5,3.75,,,,0,0,29,Top 25%,Will Attend,,
8,Public,VA,4,4.71,800,800,800,1600,2400,,1 of 435,Accepted,,
9,Public,TX,3.65,4.1,750,750,660,1500,2160,35,59 of 701,Denied,,
10,Public,NV,4,4.6,700,770,800,1470,2270,,4 of 446,Accepted,,
11,Parochial,IL,3.49,3.74,,,,0,0,31,DR,Denied,,
12,Public,NJ,3.8,4.4,800,730,760,1530,2290,,Top 10%,Accepted,,
13,Public,CA,4,4.37,800,730,750,1530,2280,,Top 10%,Accepted,,
14,Public,NY,,3.5,650,640,610,1290,1900,25,Top 25%,Withdrawn,,
15,Public,CA,3.55,3.9,630,770,710,1400,2110,,53 of 452,Accepted,,
16,Private,PR,4,,630,650,650,1280,1930,27,Top 10%,Will Attend,,
17,Public,VA,3.92,4.33,,,,0,0,32,Top 10%,Accepted,,
18,Public,FL,3.92,4.39,620,670,580,1290,1870,33,120 of 550,Accepted,,
19,Public,WA,4,,800,730,700,1530,2230,,1 of 318,Accepted,,
20,Private,MD,4,4.4,760,730,710,1490,2200,,Top 10%,Accepted,,
21,Public,WI,4,0,,,,0,0,27,1 of 182,Denied,,
22,Public,NJ,3,3.7,800,630,700,1430,2130,,Top 25%,Denied,,
23,Public,CA,3.71,4.08,710,610,620,1320,1940,33,47 of 421,Accepted,,
24,Public,NY,3.8,,790,700,720,1490,2210,,DR,Accepted,,
25,Public,NJ,,4.2,770,660,750,1430,2180,31,Top 25%,Accepted,,
26,Public,MD,4,4.6,800,670,700,1470,2170,35,1 of 410,Will Attend,,
27,Public,CA,3.91,4.31,680,640,760,1320,2080,33,6 of 608,Denied,,
28,Private,CA,3.27,3.47,,,,0,0,31,DR,Accepted,,
29,Private,,3.85,3.85,760,700,740,1460,2200,34,DR,Accepted,,
30,Public,NJ,3.7,3.85,620,640,580,1260,1840,,95 of 569,Accepted,,
31,Public,NC,4,4.92,690,680,670,1370,2040,34,8 of 282,Accepted,,
